"","GSM1399027.CBD","GSM1399028.CTRL","GSM1399029.CBD","GSM1399030.CTRL","GSM1399031.CBD","GSM1399032.CTRL"
" UBXN10 ",6.12083,6.12833,6.21614,6.63691,6.11057,5.94356
" VWA5B1 ",6.46475,6.61954,6.89271,6.67861,6.36029,6.2837
" FAM43B ",9.08087,9.10956,9.30559,9.2619,9.12496,8.95789
" CDA ",6.50217,6.6233,7.0249,6.90302,6.55119,6.41917
" PINK1 ",8.09468,7.98223,8.35632,8.58252,9.06979,9.29434
" HS6ST1 ",8.75755,8.90617,9.15815,8.85455,9.62195,9.08728
" NBPF3 ",8.34053,8.18299,8.1128,7.96841,8.27,8.15606
" ALPL ",7.08802,7.00072,7.42357,7.59031,7.48774,7.44899
" LDLRAD2 ",7.27844,7.27183,7.37773,7.37148,7.27971,6.92534
" CELA3B ",7.23977,7.6152,7.69314,7.69323,7.25252,7.21548
" CELA3A ",7.02511,7.1444,7.27135,7.80739,6.96775,6.85838
" LINC00339 ",7.69782,7.85062,7.39769,7.3743,7.40199,7.72991
" CDC42 ",8.76409,8.65087,7.6087,7.93567,8.86365,8.79524
" ZBTB40 ",9.06429,8.82024,8.9846,9.06965,9.20985,9.40251
" EPHA8 ",6.85764,7.06752,6.9615,7.12385,6.81999,6.79048
" C1QA ",6.29824,6.3091,7.08697,6.67647,5.92098,5.75875
" C1QC ",6.87873,6.98659,7.34137,7.0733,6.76465,6.52533
" C1QB ",6.40795,6.52516,6.50395,6.70679,6.66598,6.14743
" EPHB2 ",8.06442,8.34839,7.80247,7.53058,9.30801,9.38889
" KDM1A ",11.1479,11.1213,10.7299,10.4519,10.4392,10.5158
" C1orf213 ",7.05901,7.09477,6.95526,6.90988,6.82347,6.93089
" MDS2 ",6.99288,7.0833,7.29709,7.25857,6.61644,6.50469
" RPL11 ",11.7267,11.6221,11.4755,11.3446,11.2707,11.5578
" TCEB3 ",9.72829,9.7059,9.68961,9.71234,9.61894,9.56075
" PITHD1 ",9.36689,9.20584,8.46108,8.54715,8.92387,9.37321
" LYPLA2 ",10.2265,10.4362,10.3571,10.2083,10.0497,9.84372
" PNRC2 ",12.5537,12.4199,11.9052,11.3529,11.4809,10.9995
" GRHL3 ",6.1492,6.30297,6.3549,6.4412,6.2457,6.08651
" NIPAL3 ",7.91284,7.77926,8.32434,8.09945,6.99681,7.06188
" RCAN3 ",7.26357,7.04634,9.56826,9.24511,8.10028,8.17854
" NCMAP ",6.46649,6.30705,6.98738,6.67125,6.31909,6.08983
" SRRM1 ",10.3144,10.3364,10.2006,10.3388,10.0292,9.97904
" CLIC4 ",12.2655,12.5142,12.4266,12.3627,11.8577,12.1525
" RHD ",6.02116,5.56599,5.94172,6.07445,5.86098,5.92165
" TMEM50A ",12.6652,12.5219,12.4794,12.3267,12.4139,12.3673
" SDHD ",11.6483,11.5467,10.9576,11.0625,10.9594,11.049
" TMEM57 ",9.70072,9.61725,9.07187,9.20768,9.6656,10.2208
" LDLRAP1 ",7.9472,8.04119,8.90277,8.58441,8.12008,8.41242
" MAN1C1 ",7.82246,8.08827,8.88851,8.36891,8.41807,8.12076
" SEPN1 ",10.7008,10.754,10.9596,10.6312,11.4889,11.3633
" MTFR1L ",11.2207,11.1923,10.7778,10.7769,10.6362,10.5568
" EXTL1 ",7.25277,7.09485,7.6483,7.16403,6.98451,6.64089
" PDIK1L ",8.52442,8.51059,7.96594,7.82062,8.08794,8.20975
" FAM110D ",8.21657,8.1738,8.49142,8.36387,8.02273,7.90123
" ZNF593 ",9.32173,9.58222,8.97988,9.41141,8.98613,9.49137
" CNKSR1 ",6.18309,6.08525,6.32043,6.29311,6.13016,6.02674
" CATSPER4 ",5.85156,5.69487,5.84214,5.80722,5.29063,5.37541
" CEP85 ",8.81123,8.65228,7.94395,7.4697,7.62894,7.2024
" SH3BGRL3 ",9.34947,9.38557,9.12587,9.27374,9.44593,9.41427
" CD52 ",6.51608,6.43944,6.58947,6.64943,6.34742,6.1991
" LIN28A ",6.19736,6.39255,6.60727,6.83159,6.08229,5.84139
" DHDDS ",10.8125,10.9322,10.6733,11.2249,9.97324,10.3421
" HMGN2 ",12.9014,12.7807,11.7417,11.1994,12.2673,12.0481
" RPS6KA1 ",8.47717,8.74787,8.37318,7.8335,7.81461,7.3662
" ARID1A ",9.44224,9.44675,9.41338,9.72712,10.3205,10.2282
" PIGV ",8.70623,8.59312,8.72644,8.68697,8.74553,8.81539
" ZDHHC18 ",9.8715,9.94907,9.58483,9.73181,9.97414,10.2966
" SFN ",7.30421,7.29562,7.45277,7.27479,7.026,6.88164
" NUDC ",9.61331,9.64454,9.37549,9.3359,9.39698,9.45578
" TRNP1 ",8.51692,8.59483,8.68212,8.51647,8.53737,8.52935
" WDTC1 ",9.23165,9.16262,9.01241,8.81983,9.44681,9.39734
" TMEM222 ",10.1139,10.0884,9.89382,10.0267,10.3655,10.679
" SYTL1 ",6.64567,6.82143,6.98696,7.0441,6.70101,6.59774
" GPR3 ",8.31484,8.86591,8.94434,8.89554,8.66306,8.39787
" TMA7 ",12.1105,11.9394,10.978,10.9411,11.5069,11.5398
" FAM76A ",8.32464,8.32487,8.19165,8.18414,8.57896,8.66268
" STX12 ",10.5585,10.4024,10.0666,10.0285,10.8257,11.0093
" PPP1R8 ",10.9916,10.907,10.3566,10.4657,10.2722,10.3465
" SCARNA1 ",8.2549,8.41645,7.65782,6.95872,7.52336,7.5368
" THEMIS2 ",6.75498,6.92786,8.18923,7.58488,7.18255,7.4386
" SMPDL3B ",6.61713,6.64055,6.92275,6.84445,6.22945,6.38276
" XKR8 ",6.78241,6.7215,7.18558,6.88743,7.28939,7.3585
" ATPIF1 ",8.88914,8.62893,7.87747,7.68302,8.61365,8.33332
" SESN2 ",9.46666,10.5086,9.84004,11.0434,8.89334,10.6147
" MED18 ",7.18178,7.12633,6.68351,6.65201,6.93858,7.34833
" PHACTR4 ",11.3117,11.2473,11.3082,11.0179,11.6833,11.6517
" RCC1 ",10.0546,9.93254,9.13103,8.72929,8.66357,8.32601
" SNORA73A ",12.285,12.2101,11.9414,11.8759,11.6473,12.1302
" TRNAU1AP ",9.47763,9.20215,8.07778,8.48865,9.00272,8.93588
" RAB42 ",6.4793,5.75342,6.08607,6.04454,5.79313,5.46845
" RNU11 ",9.95936,9.73352,9.10735,9.01748,9.69833,9.64476
" GMEB1 ",10.0686,10.2327,9.69045,9.58762,9.00397,9.03211
" YTHDF2 ",10.4422,10.6708,10.335,10.3167,10.05,10.1305
" OPRD1 ",7.37429,7.5887,7.963,7.60133,7.64206,7.14104
" EPB41 ",8.39161,8.1595,9.39225,9.49945,8.84022,9.63458
" PTPRU ",6.86237,6.98381,7.2666,7.01344,6.96615,7.1303
" MATN1-AS1 ",6.47172,6.63856,6.71612,6.84026,6.39726,6.43763
" ZCCHC17 ",10.7827,10.5361,9.41555,9.341,9.18579,9.72364
" SERINC2 ",8.89125,8.99493,10.0609,10.0886,10.9433,11.241
" TINAGL1 ",6.52351,6.58438,6.78486,6.57858,6.39433,6.1163
" HCRTR1 ",6.83778,7.00259,7.02251,7.12918,6.82878,6.77818
" KHDRBS1 ",10.9712,10.9103,10.5692,10.6932,10.5264,10.2749
" TMEM39B ",8.87754,8.91144,8.45618,8.18927,8.56843,8.57886
" KPNA6 ",10.559,10.5999,10.6267,10.8761,10.9984,10.8689
" TXLNA ",9.97619,10.0712,9.75827,9.81152,10.1966,10.3118
" CCDC28B ",7.63016,7.54699,7.15311,7.18524,7.6881,7.16967
" IQCC ",7.76789,7.7226,7.80493,7.60868,7.95528,7.95842
" EIF3I ",11.962,12.0084,11.1979,11.5252,11.5513,11.7473
" FAM167B ",6.92165,7.0589,7.10955,7.08081,6.87168,6.67217
" LCK ",7.08436,7.09333,7.32679,7.37966,7.00745,6.6409
" HDAC1 ",11.5703,11.4632,10.7189,10.5337,10.4209,10.2937
" TSSK3 ",6.90506,6.73003,7.22497,7.02863,6.87242,6.9411
" ZBTB8A ",9.49401,9.43873,8.82911,8.91159,9.05224,9.06713
" RBBP4 ",12.6443,12.5005,12.3179,12.1876,12.3266,12.3754
" KIAA1522 ",7.46581,7.64321,8.12201,8.26891,7.80321,7.71146
" S100PBP ",9.38688,9.3238,9.12606,9.23561,8.83638,8.85251
" HPCA ",7.16303,7.27438,7.20731,6.95759,7.69858,7.6554
" AZIN2 ",6.93887,7.0826,7.27191,7.75596,8.01763,8.10035
" ZNF362 ",10.3302,10.3157,10.5528,10.23,11.2157,11.2237
" ZSCAN20 ",7.18081,7.19623,7.27367,7.35041,7.87841,8.04898
" HMGB4 ",4.61383,5.04788,4.87745,5.11728,4.79266,4.93224
" C1orf94 ",8.19021,8.55885,8.77783,9.17016,7.35599,7.83927
" GJB5 ",6.39875,6.70637,6.68314,6.67032,6.21539,6.0082
" GJB4 ",6.26951,6.34973,6.8146,6.71206,6.24186,6.31611
" GJB3 ",6.37143,6.49114,6.36538,6.50308,6.12513,6.1179
" GJA4 ",7.05796,7.39522,7.5613,7.76277,7.00625,7.04249
" ZMYM1 ",9.21404,8.92479,7.90368,8.16261,8.84412,8.39581
" ZMYM4 ",11.3975,11.3876,11.195,11.2543,11.6826,11.6258
" NCDN ",9.26525,9.46892,9.75291,10.1291,10.1528,10.2768
" TFAP2E ",8.61111,8.67749,8.79224,8.89244,8.63128,8.47137
" AGO4 ",8.77516,8.78897,8.4984,8.82668,9.22572,9.40377
" AGO1 ",9.90481,9.96534,10.0112,9.97044,10.9633,10.8388
" AGO3 ",9.08728,9.21714,8.67814,9.07204,10.0808,9.58412
" TEKT2 ",6.45818,6.65358,6.74134,6.66606,6.81854,6.47327
" ADPRHL2 ",9.09174,8.84304,8.70045,8.66298,8.97902,9.04642
" MAP7D1 ",8.9936,9.05133,9.10915,9.2583,9.36494,9.59889
" THRAP3 ",10.4729,10.3444,10.2625,10.087,10.2317,10.1845
" SH3D21 ",6.98944,6.88965,7.14038,7.26637,6.97636,6.81091
" ZC3H12A ",7.65641,7.63551,7.79883,7.87799,7.54349,7.57887
" RPS27 ",12.904,12.8932,12.7322,12.7108,12.8171,13.1533
" DNALI1 ",10.4357,10.5316,9.81655,10.0851,10.3448,10.1862
" CDCA8 ",10.5758,10.2056,8.94569,7.57714,9.31365,7.88914
" MANEAL ",10.428,10.4847,9.78529,9.65789,10.2326,9.99217
" C1orf122 ",9.55905,9.45334,9.368,9.5409,9.38992,9.46356
" UTP11L ",10.9746,10.7323,10.0141,10.233,9.88561,10.0258
" AKIRIN1 ",10.6291,10.7023,10.7071,10.8781,10.4932,10.6159
" NDUFS5 ",12.5675,12.5646,11.8709,11.678,12.2944,12.4704
" MACF1 ",8.85106,9.10084,9.22582,9.52831,10.094,9.84782
" BMP8A ",6.97302,7.11925,7.13722,7.13276,7.58212,7.40676
" OXCT2 ",7.41893,7.50059,7.51427,7.5342,7.21263,7.14814
" PPIE ",9.08824,8.95494,8.77641,9.17731,8.7947,8.95213
" MFSD2A ",9.88239,9.91191,10.1187,9.44532,9.25306,9.51044
" CAP1 ",12.3811,12.4342,12.1644,12.265,12.092,12.0319
" RLF ",10.6674,10.781,9.93486,10.2079,10.1928,10.1914
" TMCO2 ",5.28607,5.35081,5.4618,5.82731,5.21411,5.37272
" ZMPSTE24 ",11.6659,11.6126,11.2046,11.0983,10.9696,11.1853
" SMAP2 ",11.0365,11.0406,10.6187,10.248,11.1373,10.7751
" ZFP69B ",9.53076,9.93831,9.30531,8.92165,9.21726,9.2506
" ZFP69 ",8.41993,8.58652,7.83481,7.96325,8.368,8.48458
" EXO5 ",8.51249,8.56957,8.00801,8.31097,8.05592,7.95874
" ZNF684 ",7.84979,7.62964,6.90136,6.87295,6.90647,7.09924
" NFYC ",10.1789,10.1935,9.81421,9.93356,9.79178,9.96006
" MIR30E ",6.38837,5.83298,6.00186,6.3008,5.45737,5.49618
" MIR30C1 ",4.79564,4.77444,5.14758,5.30193,4.76933,4.57254
" KCNQ4 ",7.01097,7.07324,7.02038,7.1227,6.90978,6.98155
" CTPS1 ",10.0197,10.0303,9.78993,9.4316,9.47802,9.24349
" GUCA2B ",7.78442,7.68347,8.17906,8.1101,7.59264,7.40303
" RIMKLA ",8.57677,8.46567,8.3852,7.8636,8.08912,7.84354
" PPCS ",7.69074,7.4692,7.92037,8.01094,8.43114,9.00293
" CCDC30 ",5.06093,5.19421,5.92174,5.83906,6.88196,7.27911
" PPIH ",9.85799,9.65291,8.57127,8.6154,8.78043,8.70526
" YBX1 ",13.0758,13.034,12.8144,12.7307,12.7071,12.6849
" C1orf50 ",8.27876,8.11352,7.76565,8.28929,8.18644,8.37788
" LOC100129924 ",6.3788,6.27736,6.35022,6.40944,6.29042,6.08686
" ERMAP ",8.17439,8.03122,7.95709,7.53722,7.57895,7.44762
" ZNF691 ",7.8331,7.64051,7.50737,7.56469,7.33304,7.51806
" FAM183A ",6.09549,6.0125,6.02808,6.08014,6.05332,6.27111
" WDR65 ",5.4493,5.94242,6.1324,5.79267,5.64155,5.50891
" TMEM125 ",7.34033,7.54014,7.74225,7.69598,7.17653,7.18562
" TIE1 ",6.56285,6.77577,6.55222,6.53208,6.25977,6.07391
" MPL ",6.59843,6.52578,6.69386,6.66919,6.33585,6.3361
" CDC20 ",11.5328,11.4285,10.4034,9.10772,10.5703,9.34956
" SZT2 ",7.76714,7.70182,7.8113,8.33443,8.20512,8.01847
" PTPRF ",9.4156,9.50434,9.69325,9.81147,9.85675,9.81001
" KDM4A ",9.86808,10.0267,10.0848,9.99733,10.0987,10.4055
" ST3GAL3 ",8.97478,8.90371,8.77598,8.85915,9.20244,9.45557
" ARTN ",7.23138,7.39886,7.54142,7.41846,7.38055,7.15933
" IPO13 ",8.68747,8.53628,8.95444,9.09996,10.3824,10.1211
" DPH2 ",8.68049,8.65963,8.59271,8.78659,8.41575,8.64927
" ATP6V0B ",10.9151,11.0543,10.6209,10.8575,10.6516,10.9736
" B4GALT2 ",10.4397,10.2605,10.5259,10.2421,10.8452,10.8019
" CCDC24 ",7.28026,7.03675,7.4545,7.47146,7.49477,7.44121
" KLF17 ",6.49093,6.45987,6.46434,6.6989,6.27032,6.24354
" DMAP1 ",9.25739,9.2129,9.32383,9.83407,8.99234,9.11443
" RNF220 ",9.33259,9.40468,9.58245,9.62743,9.34302,9.6378
" C1orf228 ",6.58207,6.43243,6.61201,6.71971,6.61933,6.44447
" KIF2C ",9.64201,9.56264,8.3656,6.79218,8.67536,7.49833
" RPS8 ",12.3229,12.3135,11.9372,11.9674,11.6125,11.9465
" SNORD55 ",7.78794,7.69698,7.89852,8.00051,7.94946,7.89369
" SNORD46 ",10.294,10.3339,10.5416,9.97403,10.3165,10.1066
" SNORD38A ",6.62207,6.22674,6.14924,6.76272,5.92835,6.11919
" SNORD38B ",6.44456,6.29594,5.48745,6.21173,5.9558,6.01351
" PLK3 ",7.74633,8.12996,7.858,8.81753,8.04065,8.44798
" UROD ",10.6531,10.6654,10.6661,10.6892,10.2209,10.1952
" HPDL ",6.72875,6.70731,7.21914,6.74063,6.60516,6.2192
" TOE1 ",9.74128,9.72336,9.31891,9.42817,9.09824,9.03985
" MMACHC ",6.82412,6.56998,6.84147,6.72658,6.90845,6.74368
" AKR1A1 ",10.8878,10.7408,10.0737,10.2903,9.89754,10.4177
" NASP ",9.76708,9.59475,9.23341,8.75342,8.72018,8.13519
" TMEM69 ",10.5176,10.44,10.156,10.3745,10.022,10.2022
" MAST2 ",9.55319,9.72371,10.0867,10.2757,10.1225,10.348
" TSPAN1 ",6.35292,6.48302,6.03975,6.06182,5.43719,5.32252
" LURAP1 ",7.91777,8.02811,8.40394,8.38947,8.06673,7.76975
" RAD54L ",8.35366,8.32601,7.80443,6.90915,7.52202,6.52283
